"column_name","data_type","is_nullable","column_default"
"local_id","oid","YES",NULL
"numeric_precision_radix","integer","YES",NULL
"typsubscript","regproc","NO",NULL
"relpersistence","""char""","NO",NULL
"character_set_schema","name","YES",NULL
"grantor","name","YES",NULL
"table_catalog","name","YES",NULL
"indislive","boolean","NO",NULL
"increment","character varying","YES",NULL
"relname","name","YES",NULL
"authorization_identifier","name","YES",NULL
"atttypid","oid","NO",NULL
"label","text","NO",NULL
"is_nullable","character varying","YES",NULL
"specific_name","name","YES",NULL
"collation_schema","name","YES",NULL
"attnotnull","boolean","NO",NULL
"datminmxid","xid","NO",NULL
"amprocnum","smallint","NO",NULL
"load_date","timestamp without time zone","NO",NULL
"reltype","oid","NO",NULL
"domain_catalog","name","YES",NULL
"schemaname","name","YES",NULL
"indexrelid","oid","YES",NULL
"udt_schema","name","YES",NULL
"objid","oid","YES",NULL
"post_vote_hk","bytea","NO",NULL
"constraint_name","name","YES",NULL
"defaclacl","ARRAY","NO",NULL
"client_port","integer","YES",NULL
"cycle_option","character varying","YES",NULL
"statement","text","YES",NULL
"version","text","YES",NULL
"data","bytea","NO",NULL
"badge_business_key","integer","NO",NULL
"most_common_elems","anyarray","YES",NULL
"oid","oid","NO",NULL
"is_identity","character varying","YES",NULL
"castmethod","""char""","NO",NULL
"enumtypid","oid","NO",NULL
"supported_value","integer","YES",NULL
"generation_expression","character varying","YES",NULL
"is_supported","character varying","YES",NULL
"indexrelid","oid","YES",NULL
"character_set_schema","name","YES",NULL
"stats_reset","timestamp with time zone","YES",NULL
"datfrozenxid","xid","NO",NULL
"privilege_type","character varying","YES",NULL
"statistics_schemaname","name","YES",NULL
"is_trigger_updatable","character varying","YES",NULL
"schemaname","name","YES",NULL
"lockers_total","bigint","YES",NULL
"ev_action","pg_node_tree","NO",NULL
"refclassid","oid","NO",NULL
"to_sql_specific_schema","name","YES",NULL
"indexrelid","oid","YES",NULL
"interval_type","character varying","YES",NULL
"unique_constraint_catalog","name","YES",NULL
"udt_schema","name","YES",NULL
"atthasmissing","boolean","NO",NULL
"datetime_precision","integer","YES",NULL
"constraint_name","name","YES",NULL
"tag_hk","bytea","NO",NULL
"seqcycle","boolean","NO",NULL
"relnamespace","oid","NO",NULL
"last_autovacuum","timestamp with time zone","YES",NULL
"routine_catalog","name","YES",NULL
"routine_catalog","name","YES",NULL
"provider","text","NO",NULL
"conninfo","text","YES",NULL
"attstattarget","integer","NO",NULL
"relhasindex","boolean","NO",NULL
"locktype","text","YES",NULL
"foreign_data_wrapper_name","name","YES",NULL
"n_distinct","real","YES",NULL
"heap_blks_read","bigint","YES",NULL
"sourcefile","text","YES",NULL
"lomowner","oid","NO",NULL
"ispopulated","boolean","YES",NULL
"constraint_name","name","YES",NULL
"identity_generation","character varying","YES",NULL
"objsubid","integer","NO",NULL
"relname","name","YES",NULL
"load_date","timestamp without time zone","NO",NULL
"relname","name","YES",NULL
"statistics_name","name","YES",NULL
"polpermissive","boolean","NO",NULL
"usename","name","YES",NULL
"comments","character varying","YES",NULL
"is_verified_by","character varying","YES",NULL
"numeric_scale","integer","YES",NULL
"domain_catalog","name","YES",NULL
"idx_scan","bigint","YES",NULL
"netmask","text","YES",NULL
